ESD-CODE,STATE,PHASE,PHASE-NAME,VEG,NOTES
R026XY114CO,POTENTIAL ,2.3,PERENNIAL SHRUBLAND W/ SCATTERED PJ,PINYON,SCATTERED/STARTING TO RE-ESTABLISH
R026XY114CO,POTENTIAL ,2.3,PERENNIAL SHRUBLAND W/ SCATTERED PJ,PG/AG,
R026XY114CO,POTENTIAL ,2.3,PERENNIAL SHRUBLAND W/ SCATTERED PJ,PF/AF,
R026XY114CO,POTENTIAL ,2.3,PERENNIAL SHRUBLAND W/ SCATTERED PJ,SH,
R026XY114CO,POTENTIAL ,2.3,PERENNIAL SHRUBLAND W/ SCATTERED PJ,NOXIOUS,PRESENT
R026XY114CO,INVASIVE,3.1,WOODLAND W/ INVASIVE PLANTS ,PINYON,
R026XY114CO,INVASIVE,3.1,WOODLAND W/ INVASIVE PLANTS ,UTAH JUNIPER,
R026XY114CO,INVASIVE,3.1,WOODLAND W/ INVASIVE PLANTS ,CHEATGRASS,
R026XY114CO,INVASIVE,3.1,WOODLAND W/ INVASIVE PLANTS ,PG/AG,
R026XY114CO,INVASIVE,3.1,WOODLAND W/ INVASIVE PLANTS ,PF/AF,
R026XY114CO,INVASIVE,3.1,WOODLAND W/ INVASIVE PLANTS ,SH,
R026XY114CO,INVASIVE,3.1,WOODLAND W/ INVASIVE PLANTS ,M/LC/CY,DENSE 
R026XY114CO,INVASIVE,3.2,INVASIVE ANNUALS,PINYON,
R026XY114CO,INVASIVE,3.2,INVASIVE ANNUALS,UTAH JUNIPER,
R026XY114CO,INVASIVE,3.2,INVASIVE ANNUALS,CHEATGRASS,
R026XY114CO,INVASIVE,3.2,INVASIVE ANNUALS,PG,SPARSE-ABSENT
R026XY114CO,INVASIVE,3.2,INVASIVE ANNUALS,PF,SPARSE-ABSENT
R026XY114CO,INVASIVE,3.2,INVASIVE ANNUALS,SH,
R026XY114CO,INVASIVE,3.2,INVASIVE ANNUALS,M/LC/CY,DENSE 
R026XY114CO,SEEDED,4.1,SEEDED GRASSLAND/SHRUBLAND,PG/AG,
R026XY114CO,SEEDED,4.1,SEEDED GRASSLAND/SHRUBLAND,SH,
R026XY114CO,SEEDED,4.1,SEEDED GRASSLAND/SHRUBLAND,PF/AF,
R026XY114CO,SEEDED,4.2,SEEDED W/ PJ,PG/AG,
R026XY114CO,SEEDED,4.2,SEEDED W/ PJ,PINYON,SCATTERED
R026XY114CO,SEEDED,4.2,SEEDED W/ PJ,UTAH JUNIPER,SCATTERED
R026XY114CO,SEEDED,4.2,SEEDED W/ PJ,SH,
R026XY114CO,SEEDED,4.2,SEEDED W/ PJ,PF/AF,
R034BY404CO,REFERENCE,1.1,PERENNIAL GRASS-SHRUBS,GALLETA,
R034BY404CO,REFERENCE,1.1,PERENNIAL GRASS-SHRUBS,INDIAN RICEGRASS,
R034BY404CO,REFERENCE,1.1,PERENNIAL GRASS-SHRUBS,SHADSCALE,
R034BY404CO,REFERENCE,1.1,PERENNIAL GRASS-SHRUBS,WINTERFAT,
R034BY404CO,REFERENCE,1.2,SHRUB DOMINATED,SHADSCALE,DOMINANT
R034BY404CO,REFERENCE,1.2,SHRUB DOMINATED,WINTERFAT,DOMINANT
R034BY404CO,REFERENCE,1.2,SHRUB DOMINATED,PG,SPARSE
R034BY404CO,CURRENT POTENTIAL,2.1,GRASS-SHRUB MIX,GALLETA,CO-DOMINANT
R034BY404CO,CURRENT POTENTIAL,2.1,GRASS-SHRUB MIX,INDIAN RICEGRASS,CO-DOMINANT
R034BY404CO,CURRENT POTENTIAL,2.1,GRASS-SHRUB MIX,SHADSCALE,CO-DOMINANT
R034BY404CO,CURRENT POTENTIAL,2.1,GRASS-SHRUB MIX,WINTERFAT,CO-DOMINANT
R034BY404CO,CURRENT POTENTIAL,2.1,GRASS-SHRUB MIX,ANNUAL NOXIOUS,PRESENT
R034BY404CO,CURRENT POTENTIAL,2.2,ANNUAL SPECIES CO-DOMINANT,ANNUAL NOXIOUS,
R034BY404CO,CURRENT POTENTIAL,2.2,ANNUAL SPECIES CO-DOMINANT,PG,
R034BY404CO,CURRENT POTENTIAL,2.2,ANNUAL SPECIES CO-DOMINANT,PERENNIAL SHRUB,
R034BY404CO,SNAKEWEED/RABBITBRUSH,3.1,SNAKEWEED/RABBITBRUSH DOMINATED,SNAKEWEED ,DOMINANT 
R034BY404CO,SNAKEWEED/RABBITBRUSH,3.1,SNAKEWEED/RABBITBRUSH DOMINATED,PG,PRESENT
R034BY404CO,SNAKEWEED/RABBITBRUSH,3.1,SNAKEWEED/RABBITBRUSH DOMINATED,ANNUAL NOXIOUS,PRESENT 
R036XY113CO,REFERENCE,1.1,PINYON-JUNIPER WOODLAND,UTAH JUNIPER,SCATTERED
R036XY113CO,REFERENCE,1.1,PINYON-JUNIPER WOODLAND,PINYON,
R036XY113CO,REFERENCE,1.1,PINYON-JUNIPER WOODLAND,PG/AG,
R036XY113CO,REFERENCE,1.1,PINYON-JUNIPER WOODLAND,PF/AF,
R036XY113CO,REFERENCE,1.1,PINYON-JUNIPER WOODLAND,SH,CODOMINANT WITH UTAH JUNIPER
R036XY113CO,REFERENCE,1.2,MATURE PINYON-JUNIPER WOODLAND,PINYON,CODOMINANT WITH PINYON
R036XY113CO,REFERENCE,1.2,MATURE PINYON-JUNIPER WOODLAND,UTAH JUNIPER,
R036XY113CO,REFERENCE,1.2,MATURE PINYON-JUNIPER WOODLAND,PG/AG,
R036XY113CO,REFERENCE,1.2,MATURE PINYON-JUNIPER WOODLAND,PF/AF,
R036XY113CO,REFERENCE,1.2,MATURE PINYON-JUNIPER WOODLAND,SH,OTHER
R036XY113CO,REFERENCE,1.3,PERRENIAL SHRUBLAND WITH SCATTERED PJ,PG/AG,
R036XY113CO,REFERENCE,1.3,PERRENIAL SHRUBLAND WITH SCATTERED PJ,SH,
R036XY113CO,REFERENCE,1.3,PERRENIAL SHRUBLAND WITH SCATTERED PJ,PF/AF,SCATTERED
R036XY113CO,REFERENCE,1.3,PERRENIAL SHRUBLAND WITH SCATTERED PJ,UTAH JUNIPER,SCATTERED
R036XY113CO,REFERENCE,1.3,PERRENIAL SHRUBLAND WITH SCATTERED PJ,PINYON,
R036XY113CO,POTENTIAL,2.1,PINYON-JUNIPER WOODLAND,UTAH JUNIPER,SCATTERED
R036XY113CO,POTENTIAL,2.1,PINYON-JUNIPER WOODLAND,PINYON,
R036XY113CO,POTENTIAL,2.1,PINYON-JUNIPER WOODLAND,PG/AG,
R036XY113CO,POTENTIAL,2.1,PINYON-JUNIPER WOODLAND,PF/AF,
R036XY113CO,POTENTIAL,2.1,PINYON-JUNIPER WOODLAND,SH,PRESENT
R036XY113CO,POTENTIAL,2.1,PINYON-JUNIPER WOODLAND,INVASIVES,
R036XY113CO,POTENTIAL,2.2,MATURE PINYON-JUNIPER WOODLAND,PINYON,
R036XY113CO,POTENTIAL,2.2,MATURE PINYON-JUNIPER WOODLAND,UTAH JUNIPER,
