Plot ID,Panel,Plot Status,Administrative State,Project Office,Design Stratum,Project Contact Name,Comments,Rejection Criteria,Rejection Criteria Comments,Actual Stratum,Project,Random or Targeted,Revisit,Original Plot ID If Revisit,Date Originally Visited If Revisit,Moved,Move Comments,Date Visited,Actual Latitude Y,Actual Longitude X,Ecological Site
SD-383,2022,Sampled,CO,UFO,SD,Ken Holsinger,,NA,,SS,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,8/16/2021,38.3929051905745,-107.761667593245,R036XY289CO Clayey Foothills
SD-384,2022,Sampled,CO,UFO,SD,Ken Holsinger,,NA,,SD,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,6/3/2021,38.7782489719679,-107.687431130028,R034BY106UT Desert Loam (Shadscale)
SD-385,2022,Sampled,CO,UFO,SD,Ken Holsinger,,NA,,Salt Desert ,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,6/29/2021,38.7963486,-108.2073565,R034XY404CO Stony Saltdesert
SD-386,2022,Sampled,CO,UFO,SD,Ken Holsinger,,NA,,Salt Desert ,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,6/29/2021,38.7677661261407,-108.208655244709,R034XY262CO Salt Flats
SD-387,2022,Sampled,CO,UFO,SD,Ken Holsinger,,NA,,Salt Desert ,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,6/29/2021,38.7781351,-108.2563349,R034XY406CO Saltdesert Breaks
SD-388,2022,Sampled,CO,UFO,SD,Ken Holsinger,,NA,,Salt Desert ,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,10/1/2021,38.7669221,-108.3073452,R034BY106UT Desert Loam (Shadscale)
SD-389,2022,Rejected,CO,UFO,SD,Ken Holsinger,,Field Reject - Slope over 50% and couldn't move to avoid slope.,,Rejected,Terrestrial AIM ,Random   ,No,NA,NA,NA,NA,NA,NA,NA,NA
SD-390,2022,Rejected,CO,UFO,SD,Ken Holsinger,,Field Reject - Slope over 50% and couldn't move to avoid slope.,,Rejected,Terrestrial AIM ,Random   ,No,NA,NA,NA,NA,NA,NA,NA,NA
SD-391,2022,Sampled,CO,UFO,SD,Ken Holsinger,,NA,,Salt Desert,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,8/14/2021,38.3373040350014,-108.690542467719,R036XY113CO Semidesert Juniper Loam
SS-273,2021,Sampled,CO,UFO,SS,Ken Holsinger,,NA,,SS,Terrestrial AIM ,Random   ,No,NA,NA,No,NA,7/14/2021,38.4520440963793,-108.03020293107,R036XY113CO Semidesert Juniper Loam
